COD_PAI4,COD_SAL,POSAR,FOBDOL,FOBPES
ABW,BOG,603110000,744,2925847
ABW,BOG,603199090,569,2237250
ABW,BOG,603110000,2389,9553240
ABW,BOG,603129000,597,2388270
ABW,BOG,603141000,448,1791213
ABW,BOG,603149000,119,477662
ABW,BOG,603199090,2258,9027836
ABW,BOG,604200000,358,1432986
ABW,BOG,3403190000,35,139410
ABW,BOG,4816900000,358,1369823
ABW,BOG,4821100000,93,355451
ABW,BOG,603110000,190,749964
ABW,BOG,603141000,273,1075659
ABW,BOG,603191000,213,839865
ABW,BOG,603193000,72,283898
ABW,BOG,603199010,358,1412590
ABW,BOG,603199090,1216,4793423
ABW,BOG,604200000,2403,9475022
ABW,BOG,702000000,82,322438
ABW,BOG,703100090,79,312211
ABW,BOG,705190000,183,722070
ABW,BOG,702000000,183,714357
ABW,BOG,703100090,158,615471
ABW,BOG,705190000,444,1732285
ABW,BOG,709590000,717,2860507
ABW,BOG,709999000,32,127586
ABW,BOG,910999000,416,1660850
ABW,BOG,1211903000,54,214638
ABW,BOG,1211909000,7530,30041391
ABW,BOG,702000000,61,245200
ABW,BOG,703100090,68,271340
ABW,BOG,705190000,183,732207
ABW,BOG,2710191500,345413,1356311290
BIH,BOG,603129000,272,1087976
BIH,BOG,603110000,9098,36378444
BIH,BOG,603121000,1188,4750230
AGO,BOG,8207198000,1608,6404935
AGO,BOG,8431439000,1474,5893804
AIA,BOG,2710191500,1481,5734430
ATG,BOG,4202111000,657,2601491
ATG,BOG,4202121020,1791,7087823
ATG,BOG,4202210000,17825,70528456
ATG,BOG,4202310000,10396,41136218
ATG,BOG,4202911000,1323,5233211
ATG,BOG,4202919000,1309,5178766
ATG,BOG,4203300000,3873,15323344
ATG,BOG,6403999000,9199,36399027
SAU,BOG,6204420000,3044,12044377
SAU,BOG,6204440000,736,2912175
SAU,BOG,6204490000,2372,9385435
SAU,BOG,6204690000,744,2943829
SAU,BOG,6206900000,588,2326575
SAU,BOG,603150000,21,82224
SAU,BOG,603192000,860,3367191
SAU,BOG,603199010,24099,95375675
SAU,BOG,603199090,6,23493
SAU,BOG,604200000,2526,9920736
SAU,BOG,603199010,1421,5684310
SAU,BOG,603150000,7,27408
SAU,BOG,603199010,18140,72069744
SAU,BOG,603199090,1377,5392645
SAU,BOG,8431439000,11208,44192140
SAU,BOG,8482990000,2248,8865824
SAU,BOG,5702990000,68634,271507868
SAU,BOG,8483309000,11274,43090747
SAU,BOG,106190000,50,199926
SAU,BOG,603110000,1395,5579874
SAU,BOG,603149000,152,607986
SAU,BOG,603199010,1475,5897867
SAU,BOG,603199090,150,599987
SAU,BOG,604200000,1630,6519853
SAU,BOG,603199090,10472,41705258
SAU,BOG,804400010,18596,71075453
SAU,BOG,3904220000,2466,9862594
SAU,BOG,8537200000,4878,19427432
SAU,BOG,9015809000,13693,55391359
SAU,BOG,7307920000,220790,863959006
SAU,BOG,7307920000,32374,128949701
SAU,BOG,804502000,1078,4180295
SAU,BOG,810901020,877,3400893
SAU,BOG,810901030,716,2770827
SAU,BOG,810903000,373,1447143
SAU,BOG,810904000,1000,3879997
SAU,BOG,810905000,1592,6176460
SAU,BOG,810909010,147,560848
SAU,BOG,804400010,17672,70501333
SAU,BOG,810400000,22374,87647637
SAU,BOG,3926909090,3412,13208807
SAU,BOG,8479900000,3412,13208768
SAU,BOG,8481909000,3412,13208768
SAU,BOG,9031809000,6000,23937300
SAU,BOG,9603500000,3412,13208768
SAU,BOG,603149000,156,613484
SAU,BOG,6112410000,288,1127644
SAU,BOG,6204490000,1160,4541899
SAU,BOG,6204620000,336,1315584
SAU,BOG,6204690000,963,3770559
SAU,BOG,6206900000,612,2396243
SAU,BOG,6211499000,928,3633519
SAU,BOG,804400010,8480,33200967
ARG,BOG,9023001000,7235,28934276
ARG,BOG,301110020,368,1471452
ARG,BOG,301110090,3054,12211450
ARG,BOG,603110000,1000,4023210
ARG,BOG,2519902000,105,411742
ARG,BOG,2827310000,105,411742
ARG,BOG,2840190000,105,411742
ARG,BOG,2915210000,105,411742
ARG,BOG,2917199000,105,411742
ARG,BOG,2923909000,105,411742
ARG,BOG,3824400000,105,411742
ARG,BOG,8421299000,3969,15806304
ARG,BOG,3004202000,91000,363948130
ARG,BOG,3824999900,2238,8927815
ARG,BOG,6212900000,23072,89322482
ARG,BOG,9018901000,15266,60388803
ARG,BOG,7323931000,48993,189675073
ARG,BOG,3923299000,92,367863
ARG,BOG,3924109000,54,215920
ARG,BOG,4816900000,5700,23057754
ARG,BOG,4821900000,89,358285
ARG,BOG,8431439000,2487,9761506
ARG,BOG,3919100000,3545,13940088
ARG,BOG,3919901100,2051,8064916
ARG,BOG,603199010,490,1930981
ARG,BOG,4008111000,4,17077
ARG,BOG,8525890000,146,576566
ARG,BOG,8544300000,597,2355620
ARG,BOG,8708100000,206,810279
ARG,BOG,8708294000,1572,6208763
ARG,BOG,8708299000,1584,6253737
ARG,BOG,8708701000,598,2349024
ARG,BOG,9029209000,963,3729949
ARG,BOG,8455220000,11541,45962033
ARG,BOG,8522909000,923,3692157
ARG,BOG,2710191500,1844781,7224103382
AUS,BOG,603141000,23242,91240901
AUS,BOG,603149000,3270,13039787
AUS,BOG,603193000,728,2857961
AUS,BOG,603199090,5202,20594989
AUS,BOG,603199010,2657,10580308
AUS,BOG,6204690000,799,3054582
AUS,BOG,603141000,79,310842
AUS,BOG,603199090,378,1483941
AUS,BOG,9503009910,8484,33793443
AUS,BOG,603110000,4114,16551486
AUS,BOG,603129000,107499,430157783
AUS,BOG,603900000,6431,25438998
AUS,BOG,603129000,11695,45992427
AUS,BOG,603193000,724,2862475
AUS,BOG,3923210000,94,378228
AUS,BOG,6104490000,12954,52401133
AUS,BOG,6104690000,102,412208
AUS,BOG,6106900000,6246,25265190
AUS,BOG,8413919000,1461,5843542
AUS,BOG,603193000,958,3814264
AUS,BOG,9805000000,750,2993160
AUS,BOG,603121000,144,566293
AUS,BOG,603129000,5586,21967448
AUS,BOG,603110000,14827,59058165
AUS,BOG,603129000,69560,277067914
AUS,BOG,603192000,5,19993
AUS,BOG,603193000,378,1511437
AUS,BOG,603199090,19,75972
AUS,BOG,1211909000,5016,19726147
AUS,BOG,603110000,1076,4301903
AUS,BOG,603129000,6746,26981393
AUS,BOG,603129000,49729,198799227
AUS,BOG,1806310000,918,3552055
AUS,BOG,7007210000,26522,103845465
AUS,BOG,6104430000,7222,28476563
AUS,BOG,6104530000,552,2176553
AUS,BOG,6106200000,860,3391794
AUS,BOG,6112410000,2539,10012142
AUS,BOG,3921901000,697,2820327
AUS,BOG,603129000,3339,13211622
AUS,BOG,603110000,6808,26959594
AUS,BOG,603121000,568,2245357
AUS,BOG,603129000,695,2753316
AUS,BOG,603141000,1328,5251431
AUS,BOG,603191000,269,1065121
AUS,BOG,603193000,2844,11297557
AUS,BOG,603194000,378,1495323
AUS,BOG,603199090,90,357809
AUS,BOG,604200000,684,2705822
AUS,BOG,603121000,61,242100
AUS,BOG,603129000,1287,5091218
AUS,BOG,603141000,14495,57735759
AUS,BOG,603149000,72546,288957086
AUS,BOG,603110000,40765,159073954
AUS,BOG,603121000,5468,21861853
AUS,BOG,603129000,12575,50079938
AUS,BOG,603900000,6289,24732845
AUS,BOG,604200000,6418,25392507
AUS,BOG,603110000,5290,20642338
AUS,BOG,603129000,5997,23883053
AUS,BOG,603149000,840,3345300
AUS,BOG,603121000,200,798176
AUS,BOG,603129000,75,299316
AUS,BOG,603110000,6893,27065102
AUS,BOG,901119000,8372,33400393
AUS,BOG,3923210000,138,551874
AUS,BOG,4015909000,913,3512119
AUS,BOG,4202210000,11356,44006500
AUS,BOG,4202919000,164,652134
AUS,BOG,4203300000,3187,12509041
AUS,BOG,4821100000,329,1312366
AUS,BOG,6104490000,42292,166689269
AUS,BOG,6104590000,301,1199937
AUS,BOG,6104690000,13947,55071854
AUS,BOG,6106900000,54352,215108573
AUS,BOG,6504000000,4727,18589353
AUS,BOG,4015909000,626,2495464
AUS,BOG,4202919000,993,3960825
AUS,BOG,4203300000,2988,11922611
AUT,BOG,7614900000,751,2992052
AUT,BOG,8544700000,209,831148
AUT,BOG,603121000,1278,4949262
AUT,BOG,603129000,4182,16191178
AUT,BOG,603121000,2603,10302147
AUT,BOG,603129000,10794,42766885
AZE,BOG,6112410000,504,2015249
AZE,BOG,6204420000,2064,8252925
AZE,BOG,6204440000,368,1471452
AZE,BOG,6204490000,736,2942903
AZE,BOG,6204520000,496,1983261
AZE,BOG,6204690000,496,1983261
AZE,BOG,6206900000,392,1567416
AZE,BOG,6211420000,256,1023619
AZE,BOG,6217100000,208,831690
AZE,BOG,603199010,3509,13881455
AZE,BOG,603150000,636,2543052
AZE,BOG,603199010,1587,6280328
AZE,BOG,603199010,2217,8866256
AZE,BOG,603149000,204,815982
AZE,BOG,603121000,1008,4031909
AZE,BOG,603129000,8019,32075278
AZE,BOG,603121000,1005,4004818
AZE,BOG,603129000,7356,29300529
BHS,BOG,603110000,202,806886
BHS,BOG,4202121020,366,1447383
BHS,BOG,4202310000,4498,17797467
BHS,BOG,6403999000,1220,4825981
BHS,BOG,4202210000,1340,5335754
BHS,BOG,4202310000,351,1398335
BHS,BOG,6403590000,1335,5317354
BHS,BOG,4202210000,5164,20307423
BHS,BOG,4202310000,1120,4404501
BHR,BOG,603194000,256,1012931
BHR,BOG,603199010,402,1589668
BHR,BOG,603199090,65,256398
BHR,BOG,604200000,432,1709320
BHR,BOG,603199010,2171,8680763
BHR,BOG,603199010,2105,8397604
BHR,BOG,603199090,67,268098
BHR,BOG,804200000,73,289854
BHR,BOG,810901010,39,154387
BHR,BOG,810901030,256,1020762
BHR,BOG,810905000,22,87191
BHR,BOG,603110000,45,179530
BHR,BOG,603121000,1320,5266206
BHR,BOG,603199010,108,428708
BHR,BOG,603199090,900,3586392
BHR,BOG,603110000,3531,13826362
BHR,BOG,603110000,2692,10763323
BHR,BOG,603129000,25,98576
BHR,BOG,603193000,18,70975
BHR,BOG,603199010,4350,17152575
BHR,BOG,603199090,1504,5931066
BHR,BOG,604200000,212,835922
BRB,BOG,301110090,0,39
BRB,BOG,4202119000,517,2047069
BRB,BOG,4202121020,2889,11486898
BRB,BOG,4202210000,32266,128355689
BRB,BOG,4202310000,61076,243153546
BRB,BOG,4202911000,915,3634924
BRB,BOG,4202919000,1416,5626209
BRB,BOG,4203300000,47030,187326708
BRB,BOG,2710191500,1018,3941949
BEL,BOG,6004100000,15917,62321860
BEL,BOG,6004100000,2659,10589842
BEL,BOG,810901010,2458,9832579
BEL,BOG,810901030,956,3823914
BEL,BOG,810903000,1080,4319903
BEL,BOG,810905000,3533,14131042
BEL,BOG,807200000,16368,64654664
BEL,BOG,301110090,2971,11663463
BEL,BOG,810901030,5576,21438661
BEL,BOG,810905000,2040,7843412
BEL,BOG,3004391100,65102,260372492
BEL,BOG,7103912000,5440,21668336
BEL,BOG,7010902000,150,599987
BEL,BOG,3304100000,6673,25654956
BEL,BOG,810905000,7173,27578015
BEL,BOG,603110000,52501,211222548
BEL,BOG,901119000,15708,62823046
BEL,BOG,603199090,17038,66961003
BLZ,BOG,3004201900,216,845733
BLZ,BOG,3004902900,19784,77635944
BLZ,BOG,3305100000,310,1213783
BMU,BOG,4202111000,785,3099525
BMU,BOG,4202210000,2383,9410003
BMU,BOG,4202310000,626,2471549
BMU,BOG,4202911000,2808,11087105
BMU,BOG,4202919000,3366,13292405
BMU,BOG,8302490000,2,7107
BLR,BOG,603192000,3371,13336260
BLR,BOG,603199010,26325,104161232
BLR,BOG,603110000,23706,94821986
BLR,BOG,603129000,1417,5667872
BLR,BOG,603149000,7553,30213280
BLR,BOG,603110000,2834,11286256
BLR,BOG,603149000,570,2270395
BLR,BOG,603193000,235,936837
BLR,BOG,603110000,3295,13177703
BLR,BOG,603129000,2432,9727781
BLR,BOG,603110000,17739,70954443
BLR,BOG,603149000,16343,65368529
BLR,BOG,603121000,1440,5662930
BLR,BOG,603129000,9300,36573048
BLR,BOG,603193000,3226,12897594
BLR,BOG,603199090,184,735726
BLR,BOG,603129000,1463,5849868
BLR,BOG,603110000,2537,10145739
BLR,BOG,603129000,335,1338701
BLR,BOG,603121000,163,645743
BLR,BOG,603129000,1469,5811689
BLR,BOG,603199090,38,147425
BLR,BOG,603193000,474,1836809
BLR,BOG,603199090,345,1337509
BOL,BOG,6212200000,17528,69208588
BOL,BOG,6212300000,5555,21933232
BOL,BOG,6307909000,585,2308711
BOL,BOG,6103430000,41,166259
BOL,BOG,6105100000,95,383406
BOL,BOG,6107110000,2347,9495992
BOL,BOG,6107120000,3650,14765255
BOL,BOG,6107220000,10996,44481320
BOL,BOG,6109100000,45,181428
BOL,BOG,6109909000,377,1525695
BOL,BOG,6111300000,402,1627716
BOL,BOG,6207110000,292,1180800
BOL,BOG,4016993000,2328,8950718
BOL,BOG,4901999000,31000,121378330
BOL,BOG,6103430000,207,838817
BOL,BOG,6107120000,944,3818647
BOL,BOG,6109909000,59,240407
BOL,BOG,8309900000,2009,7724223
BOL,BOG,9402909000,10729,42010293
BOL,BOG,5407510000,951,3769044
BOL,BOG,5407520000,12603,50154189
BOL,BOG,5407540000,1234,4872182
BOL,BOG,5407690000,741,2945285
BOL,BOG,5407830000,60,236281
BOL,BOG,5407910000,307,1212138
BOL,BOG,5407920000,763,3029381
BOL,BOG,5407930000,336,1327381
BOL,BOG,5407940000,161,639423
BOL,BOG,5513210090,184,724557
BOL,BOG,6004100000,84,335979
BOL,BOG,6006310000,1259,5014621
BOL,BOG,6006320000,201,799640
BOL,BOG,2106907300,9606,38860204
BOL,BOG,2106909000,3662,14337052
BOL,BOG,3004501000,51348,206100053
BOL,BOG,3004902900,28678,115121381
BOL,BOG,3923309900,2843,11246725
BOL,BOG,2106907900,8713,35245840
BOL,BOG,3004201900,72025,287788938
BOL,BOG,3004321900,2533,9960307
BOL,BOG,3004391900,22000,87799360
BOL,BOG,3004501000,27200,109671316
BOL,BOG,3004501000,2810,11165181
BOL,BOG,3004902900,100936,401167253
BOL,BOG,3004902900,57714,228690124
BOL,BOG,3006600000,1321,5273708
BOL,BOG,3304200000,4402,17312048
BOL,BOG,3304990000,3352,13182042
BOL,BOG,3304990000,153237,608459777
BOL,BOG,3305100000,674,2684324
BOL,BOG,3401300000,10860,43255097
BOL,BOG,3917399000,236,925608
BOL,BOG,4202920010,3680,14657992
BOL,BOG,5806200000,7665,30322334
BOL,BOG,6101300000,270,1054086
BOL,BOG,6102300000,146,582783
BOL,BOG,6103430000,128,503387
BOL,BOG,6104230000,1679,6617397
BOL,BOG,6104330000,308,1232435
BOL,BOG,6104430000,999,3859476
BOL,BOG,6104630000,1189,4663798
BOL,BOG,6105209000,915,3571236
BOL,BOG,6106200000,1608,6333170
BOL,BOG,6107120000,322,1289545
BOL,BOG,6108220000,390,1558387
BOL,BOG,6108320000,230,911295
BOL,BOG,6109909000,3779,14976846
BOL,BOG,6110309000,1560,6208747
BOL,BOG,6114300000,775,3078565
BOL,BOG,6203421000,65,259183
BOL,BOG,6203429000,239,920563
BOL,BOG,6203430000,43,171536
BOL,BOG,6204420000,337,1346218
BOL,BOG,6204430000,333,1326325
BOL,BOG,6204620000,2188,8509241
BOL,BOG,6204630000,317,1239109
BOL,BOG,6205300000,34,129647
BOL,BOG,6206300000,99,391080
BOL,BOG,6206400000,1598,6219736
BOL,BOG,6211420000,221,850434
BOL,BOG,6212100000,364,1406427
BOL,BOG,6212200000,456,1823580
BOL,BOG,7117190000,4708,18692639
BOL,BOG,8207900000,566,2217230
BOL,BOG,8467111000,3823,14969942
BOL,BOG,8467920000,950,3720207
BOL,BOG,5210410000,16,62735
BOL,BOG,5515110000,12,48873
BOL,BOG,3004421000,16588,67102150
BOL,BOG,3004501000,5676,22460073
BOL,BOG,3004902900,11032,44627919
